id,code,name,user_type_id:id,reconcile,chart_template_id:id
61101_account,61101,Land and Buildings: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61102_account,61102,Land and Buildings: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61201_account,61201,Motor Vechicles: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61202_account,61202,Motor Vechicles: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61301_account,61301,Computer Equipment: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61302_account,61302,Computer Equipment: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61401_account,61401,Office Equipment: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61402_account,61402,Office Equipment: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61501_account,61501,Furniture and Fittings: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61502_account,61502,Furniture and Fittings: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61601_account,61601,Other Fixed Assets: Cost,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
61602_account,61602,Other Fixed Assets: Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_za_chart_template
62001_account,62001,Investments,account.data_account_type_non_current_assets,FALSE,l10n_za_chart_template
63001_account,63001,Goodwill,account.data_account_type_non_current_assets,FALSE,l10n_za_chart_template
64001_account,64001,Inventory Control Account,account.data_account_type_current_assets,FALSE,l10n_za_chart_template
64002_account,64002,Raw Materials,account.data_account_type_current_assets,FALSE,l10n_za_chart_template
64003_account,64003,Work in Progress,account.data_account_type_current_assets,FALSE,l10n_za_chart_template
64004_account,64004,Finished Goods,account.data_account_type_current_assets,FALSE,l10n_za_chart_template
65001_account,65001,Trade Debtors,account.data_account_type_receivable,TRUE,l10n_za_chart_template
65002_account,65002,Sundry Debtors,account.data_account_type_receivable,TRUE,l10n_za_chart_template
66001_account,66001,Nedbank,account.data_account_type_liquidity,FALSE,l10n_za_chart_template
66002_account,66002,FNB,account.data_account_type_liquidity,FALSE,l10n_za_chart_template
66003_account,66003,Petty Cash,account.data_account_type_liquidity,FALSE,l10n_za_chart_template
67001_account,67001,Deferred tax assets,account.data_account_type_current_assets,FALSE,l10n_za_chart_template
